canonical_id,publisher,product_family,edition,version,metric_type,aliases,classification
MS-WIN10-ENT,Microsoft,Windows 10,Enterprise,,Per Device (VL or M365 entitlement),Windows 10 Enterprise|Win10 Ent,Commercial
MS-WIN11-PRO,Microsoft,Windows 11,Pro,,Per Device (OEM or Volume License),Windows 11 Pro|Windows 11 Professional|Win11 Pro,Commercial
MS-WIN11-ENT,Microsoft,Windows 11,Enterprise,,Per Device (VL or M365 entitlement),Windows 11 Enterprise|Win11 Ent,Commercial
MS-M365-E1,Microsoft,Microsoft 365,E1,,Per User Subscription,Microsoft 365 E1|M365 E1|O365 E1|Office 365 E1,Commercial
MS-M365-E3,Microsoft,Microsoft 365,E3,,Per User Subscription,Microsoft 365 E3|M365 E3|O365 E3|Office 365 E3,Commercial
MS-M365-E5,Microsoft,Microsoft 365,E5,,Per User Subscription,Microsoft 365 E5|M365 E5|O365 E5|Office 365 E5,Commercial
MS-M365-F1,Microsoft,Microsoft 365,F1,,Per User Subscription,Microsoft 365 F1|M365 F1|O365 F1|Office 365 F1,Commercial
MS-M365-F3,Microsoft,Microsoft 365,F3,,Per User Subscription,Microsoft 365 F3|M365 F3|O365 F3|Office 365 F3,Commercial
MS-M365-BUSINESS-BASIC,Microsoft,Microsoft 365,Business Basic,,Per User Subscription,Microsoft 365 Business Basic|M365 Business Basic,Commercial
MS-M365-BUSINESS-STANDARD,Microsoft,Microsoft 365,Business Standard,,Per User Subscription,Microsoft 365 Business Standard|M365 Business Standard,Commercial
MS-M365-BUSINESS-PREMIUM,Microsoft,Microsoft 365,Business Premium,,Per User Subscription,Microsoft 365 Business Premium|M365 Business Premium,Commercial
MS-M365-APPS-FOR-ENTERPRISE,Microsoft,Microsoft 365,Apps for enterprise,,Per User Subscription,Microsoft 365 Apps for enterprise|M365 Apps for enterprise,Commercial
MS-M365-APPS-FOR-BUSINESS,Microsoft,Microsoft 365,Apps for business,,Per User Subscription,Microsoft 365 Apps for business|M365 Apps for business,Commercial
MS-OFFICE-STD-2013,Microsoft,Office,Standard,2013,Per Device,Office Standard 2013|Office Std 2013|OFFSTD2013,Commercial
MS-OFFICE-PROPLUS-2013,Microsoft,Office,Professional Plus,2013,Per Device,Office Professional Plus 2013|Office Pro Plus 2013|OFFPROPLUS2013,Commercial
MS-OFFICE-STD-2016,Microsoft,Office,Standard,2016,Per Device,Office Standard 2016|Office Std 2016|OFFSTD2016,Commercial
MS-OFFICE-PROPLUS-2016,Microsoft,Office,Professional Plus,2016,Per Device,Office Professional Plus 2016|Office Pro Plus 2016|OFFPROPLUS2016,Commercial
MS-OFFICE-STD-2019,Microsoft,Office,Standard,2019,Per Device,Office Standard 2019|Office Std 2019|OFFSTD2019,Commercial
MS-OFFICE-PROPLUS-2019,Microsoft,Office,Professional Plus,2019,Per Device,Office Professional Plus 2019|Office Pro Plus 2019|OFFPROPLUS2019,Commercial
MS-OFFICE-STD-2021,Microsoft,Office,Standard,2021,Per Device,Office Standard 2021|Office Std 2021|OFFSTD2021,Commercial
MS-OFFICE-PROPLUS-2021,Microsoft,Office,Professional Plus,2021,Per Device,Office Professional Plus 2021|Office Pro Plus 2021|OFFPROPLUS2021,Commercial
MS-OFFICE-STD-2024,Microsoft,Office,Standard,2024,Per Device,Office Standard 2024|Office Std 2024|OFFSTD2024,Commercial
MS-OFFICE-PROPLUS-2024,Microsoft,Office,Professional Plus,2024,Per Device,Office Professional Plus 2024|Office Pro Plus 2024|OFFPROPLUS2024,Commercial
MS-OFFICE-LTSC-2021,Microsoft,Office,LTSC Standard,2021,Per Device,Office LTSC 2021|Office LTSC Standard 2021,Commercial
MS-OFFICE-LTSC-2024,Microsoft,Office,LTSC Standard,2024,Per Device,Office LTSC 2024|Office LTSC Standard 2024,Commercial
MS-EXCH-STD,Microsoft,Exchange Server,Standard,,Server + CAL,Exchange Server Standard|Exch Svr Std|EXCHSVRSTD,Commercial
MS-EXCH-ENT,Microsoft,Exchange Server,Enterprise,,Server + CAL,Exchange Server Enterprise|Exch Svr Ent|EXCHSVRENT,Commercial
MS-EXCH-CAL-STD,Microsoft,Exchange Server,Standard CAL,,Per User or Per Device,Exchange Standard CAL|Exch Std CAL,Commercial
MS-EXCH-CAL-ENT,Microsoft,Exchange Server,Enterprise CAL,,Per User or Per Device (additive to Standard CAL),Exchange Enterprise CAL|Exch Ent CAL,Commercial
MS-SP-STD,Microsoft,SharePoint Server,Standard,,Server + CAL,SharePoint Server Standard|SP Svr Std,Commercial
MS-SP-ENT,Microsoft,SharePoint Server,Enterprise,,Server + CAL,SharePoint Server Enterprise|SP Svr Ent,Commercial
MS-SKYPE-SVR,Microsoft,Skype for Business Server,,,Server + CAL,Skype for Business Server|Lync Server,Commercial
MS-PROJECT-STD,Microsoft,Project,Standard,,Per Device,Project Standard|MS Project Standard|Project Std,Commercial
MS-PROJECT-PRO,Microsoft,Project,Professional,,Per Device or Per User Subscription,Project Professional|MS Project Professional|Project Pro,Commercial
MS-PROJECT-P1,Microsoft,Project,Plan 1,,Per User Subscription,Project Plan 1|Project Online Essentials,Commercial
MS-PROJECT-P3,Microsoft,Project,Plan 3,,Per User Subscription,Project Plan 3|Project Online Professional,Commercial
MS-PROJECT-P5,Microsoft,Project,Plan 5,,Per User Subscription,Project Plan 5|Project Online Premium,Commercial
MS-VISIO-STD,Microsoft,Visio,Standard,,Per Device,Visio Standard|MS Visio Standard|Visio Std,Commercial
MS-VISIO-PRO,Microsoft,Visio,Professional,,Per Device,Visio Professional|MS Visio Professional|Visio Pro,Commercial
MS-VISIO-P1,Microsoft,Visio,Plan 1,,Per User Subscription,Visio Plan 1,Commercial
MS-VISIO-P2,Microsoft,Visio,Plan 2,,Per User Subscription,Visio Plan 2,Commercial
MS-DYN365-SALES-PROFESSIONAL,Microsoft,Dynamics 365,Sales Professional,,Per User Subscription,Dynamics 365 Sales Professional|Dyn365 Sales Professional,Commercial
MS-DYN365-SALES-ENTERPRISE,Microsoft,Dynamics 365,Sales Enterprise,,Per User Subscription,Dynamics 365 Sales Enterprise|Dyn365 Sales Enterprise,Commercial
MS-DYN365-CUSTOMER-SERVICE-PROFESSIONAL,Microsoft,Dynamics 365,Customer Service Professional,,Per User Subscription,Dynamics 365 Customer Service Professional|Dyn365 Customer Service Professional,Commercial
MS-DYN365-CUSTOMER-SERVICE-ENTERPRISE,Microsoft,Dynamics 365,Customer Service Enterprise,,Per User Subscription,Dynamics 365 Customer Service Enterprise|Dyn365 Customer Service Enterprise,Commercial
MS-DYN365-FIELD-SERVICE,Microsoft,Dynamics 365,Field Service,,Per User Subscription,Dynamics 365 Field Service|Dyn365 Field Service,Commercial
MS-DYN365-FINANCE,Microsoft,Dynamics 365,Finance,,Per User Subscription,Dynamics 365 Finance|Dyn365 Finance,Commercial
MS-DYN365-SUPPLY-CHAIN-MANAGEMENT,Microsoft,Dynamics 365,Supply Chain Management,,Per User Subscription,Dynamics 365 Supply Chain Management|Dyn365 Supply Chain Management,Commercial
MS-DYN365-BUSINESS-CENTRAL-ESSENTIALS,Microsoft,Dynamics 365,Business Central Essentials,,Per User Subscription,Dynamics 365 Business Central Essentials|Dyn365 Business Central Essentials,Commercial
MS-DYN365-BUSINESS-CENTRAL-PREMIUM,Microsoft,Dynamics 365,Business Central Premium,,Per User Subscription,Dynamics 365 Business Central Premium|Dyn365 Business Central Premium,Commercial
MS-DYN365-PROJECT-OPERATIONS,Microsoft,Dynamics 365,Project Operations,,Per User Subscription,Dynamics 365 Project Operations|Dyn365 Project Operations,Commercial
MS-PBI-PRO,Microsoft,Power BI,Pro,,Per User Subscription,Power BI Pro|PBI Pro,Commercial
MS-PBI-PPU,Microsoft,Power BI,Premium Per User,,Per User Subscription,Power BI Premium Per User|PBI PPU,Commercial
MS-PBI-CAPACITY,Microsoft,Power BI,Premium Capacity,,Per Capacity (P/F SKU) Subscription,Power BI Premium|Power BI Premium Capacity,Commercial
MS-POWERAPPS,Microsoft,Power Apps,,,Per User or Per App Subscription,Power Apps|PowerApps|Microsoft Power Apps,Commercial
MS-POWERAUTOMATE,Microsoft,Power Automate,,,Per User or Per Flow Subscription,Power Automate|Microsoft Flow,Commercial
MS-VS-PRO,Microsoft,Visual Studio,Professional,,Per User Subscription,Visual Studio Professional|VS Professional,Commercial
MS-VS-ENT,Microsoft,Visual Studio,Enterprise,,Per User Subscription,Visual Studio Enterprise|VS Enterprise,Commercial
MS-VSCODE,Microsoft,Visual Studio Code,,,Free (no license required),Visual Studio Code|VS Code|VSCode,Freeware
MS-SYSCTR-STD,Microsoft,System Center,Standard,,Per Core (2-core pack),System Center Standard|SysCtr Std,Commercial
MS-SYSCTR-DC,Microsoft,System Center,Datacenter,,Per Core (2-core pack),System Center Datacenter|SysCtr DC,Commercial
MS-BIZTALK-STD,Microsoft,BizTalk Server,Standard,,Per Core (2-core pack),BizTalk Server Standard|BizTalk Std,Commercial
MS-BIZTALK-ENT,Microsoft,BizTalk Server,Enterprise,,Per Core (2-core pack),BizTalk Server Enterprise|BizTalk Ent,Commercial
MS-AZURE-DEVOPS,Microsoft,Azure DevOps Server,,,Server + CAL or Per User Subscription,Azure DevOps Server|Team Foundation Server|TFS,Commercial
MS-DEFENDER-EP,Microsoft,Defender for Endpoint,,,Per User or Per Device Subscription,Defender for Endpoint|Microsoft Defender for Endpoint|MDE,Commercial
MS-INTUNE,Microsoft,Intune,,,Per User Subscription,Microsoft Intune|Intune|Endpoint Manager,Commercial
MS-ENTRA-P1,Microsoft,Entra ID,P1,,Per User Subscription,Entra ID P1|Azure AD Premium P1|Azure Active Directory Premium P1,Commercial
MS-ENTRA-P2,Microsoft,Entra ID,P2,,Per User Subscription,Entra ID P2|Azure AD Premium P2,Commercial
MS-COPILOT-M365,Microsoft,365 Copilot,,,Per User Subscription (add-on),Microsoft 365 Copilot|M365 Copilot|Copilot for Microsoft 365,Commercial
MS-TEAMS-PHONE,Microsoft,Teams Phone,,,Per User Subscription,Teams Phone|Microsoft Teams Phone|Phone System,Commercial
MS-RDS-CAL,Microsoft,Remote Desktop Services,CAL,,Per User or Per Device CAL,RDS CAL|Remote Desktop Services CAL|Terminal Server CAL,Commercial
ORACLE-DB-EE-11G,Oracle,Database,Enterprise Edition,11g,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies),Oracle Database 11g Enterprise Edition|Oracle DB EE 11g|Oracle Database Enterprise Edition 11g,Commercial
ORACLE-DB-EE-12C,Oracle,Database,Enterprise Edition,12c,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies),Oracle Database 12c Enterprise Edition|Oracle DB EE 12c|Oracle Database Enterprise Edition 12c,Commercial
ORACLE-DB-EE-18C,Oracle,Database,Enterprise Edition,18c,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies),Oracle Database 18c Enterprise Edition|Oracle DB EE 18c|Oracle Database Enterprise Edition 18c,Commercial
ORACLE-DB-EE-19C,Oracle,Database,Enterprise Edition,19c,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies),Oracle Database 19c Enterprise Edition|Oracle DB EE 19c|Oracle Database Enterprise Edition 19c,Commercial
ORACLE-DB-EE-21C,Oracle,Database,Enterprise Edition,21c,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies),Oracle Database 21c Enterprise Edition|Oracle DB EE 21c|Oracle Database Enterprise Edition 21c,Commercial
ORACLE-DB-EE-23AI,Oracle,Database,Enterprise Edition,23ai,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies),Oracle Database 23ai Enterprise Edition|Oracle DB EE 23ai|Oracle Database Enterprise Edition 23ai,Commercial
ORACLE-DB-SE2,Oracle,Database,Standard Edition 2,,Named User Plus (min 10 NUP/server) or Socket (max 2 sockets),Oracle Database Standard Edition 2|Oracle DB SE2|ORACLEDBSE2,Commercial
ORACLE-DB-SE,Oracle,Database,Standard Edition,,Named User Plus or Socket (legacy - superseded by SE2),Oracle Database Standard Edition|Oracle DB SE,Commercial
ORACLE-DB-XE,Oracle,Database,Express Edition,,Free (resource-limited; no license required),Oracle Database Express Edition|Oracle DB XE|Oracle XE,Freeware
ORACLE-DB-PERSONAL,Oracle,Database,Personal Edition,,Named User Plus (single user),Oracle Database Personal Edition,Commercial
ORACLE-OPT-REAL-APPLICATION-CLUSTERS,Oracle,Real Application Clusters,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Real Application Clusters|Real Application Clusters,Commercial
ORACLE-OPT-PARTITIONING,Oracle,Partitioning,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Partitioning|Partitioning,Commercial
ORACLE-OPT-ADVANCED-SECURITY,Oracle,Advanced Security,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Advanced Security|Advanced Security,Commercial
ORACLE-OPT-ADVANCED-COMPRESSION,Oracle,Advanced Compression,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Advanced Compression|Advanced Compression,Commercial
ORACLE-OPT-ACTIVE-DATA-GUARD,Oracle,Active Data Guard,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Active Data Guard|Active Data Guard,Commercial
ORACLE-OPT-IN-MEMORY-DATABASE,Oracle,In-Memory Database,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle In-Memory Database|In-Memory Database,Commercial
ORACLE-OPT-MULTITENANT,Oracle,Multitenant,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Multitenant|Multitenant,Commercial
ORACLE-OPT-SPATIAL-AND-GRAPH,Oracle,Spatial and Graph,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Spatial and Graph|Spatial and Graph,Commercial
ORACLE-OPT-OLAP,Oracle,OLAP,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle OLAP|OLAP,Commercial
ORACLE-OPT-LABEL-SECURITY,Oracle,Label Security,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE option - requires Database EE],Oracle Label Security|Label Security,Commercial
ORACLE-PACK-DIAGNOSTICS-PACK,Oracle,Diagnostics Pack,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE management pack],Oracle Diagnostics Pack|Diagnostics Pack,Commercial
ORACLE-PACK-TUNING-PACK,Oracle,Tuning Pack,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE management pack],Oracle Tuning Pack|Tuning Pack,Commercial
ORACLE-PACK-DATABASE-LIFECYCLE-MANAGEMENT-PACK,Oracle,Database Lifecycle Management Pack,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE management pack],Oracle Database Lifecycle Management Pack|Database Lifecycle Management Pack,Commercial
ORACLE-PACK-DATA-MASKING-AND-SUBSETTING-PACK,Oracle,Data Masking and Subsetting Pack,,,Named User Plus (min 25 NUP/proc for EE) or Processor (core factor applies) [EE management pack],Oracle Data Masking and Subsetting Pack|Data Masking and Subsetting Pack,Commercial
ORACLE-WLS-STD,Oracle,WebLogic Server,Standard Edition,,Socket (physical CPU sockets),Oracle WebLogic Server Standard Edition|WebLogic SE|Oracle WebLogic SE,Commercial
ORACLE-WLS-ENT,Oracle,WebLogic Server,Enterprise Edition,,Processor (core factor applies) or Named User Plus,Oracle WebLogic Server Enterprise Edition|WebLogic EE|Oracle WebLogic EE,Commercial
ORACLE-WLS-SUITE,Oracle,WebLogic Server,Suite,,Processor (core factor applies),Oracle WebLogic Suite|WebLogic Suite,Commercial
ORACLE-SOA,Oracle,SOA Suite,,,Processor (core factor applies),Oracle SOA Suite|SOA Suite,Commercial
ORACLE-JAVA-SE,Oracle,Java SE,Universal Subscription,,"Per Employee (total employee count, not installs)",Oracle Java SE Universal Subscription|Java SE Subscription|Oracle Java SE,Commercial
ORACLE-JDK,Oracle,JDK,,,Free under NFTC for recent versions; older versions may require subscription,Oracle JDK|Java Development Kit|Oracle Java Development Kit,Commercial
ORACLE-EBS,Oracle,E-Business Suite,,,Application User or Named User Plus,Oracle E-Business Suite|Oracle EBS,Commercial
ORACLE-PRIMAVERA,Oracle,Primavera P6,,,Named User Plus or Application User,Oracle Primavera P6|Primavera P6|Primavera,Commercial
ORACLE-PEOPLESOFT,Oracle,PeopleSoft,,,Application User or Employee metric,Oracle PeopleSoft|PeopleSoft,Commercial
ORACLE-SIEBEL,Oracle,Siebel CRM,,,Application User,Oracle Siebel|Siebel CRM|Siebel,Commercial
ORACLE-GOLDENGATE,Oracle,GoldenGate,,,Processor (core factor applies) or Named User Plus,Oracle GoldenGate|GoldenGate,Commercial
ORACLE-VIRTUALBOX,Oracle,VM VirtualBox,,,Base package free; Extension Pack requires license for commercial use,Oracle VM VirtualBox|VirtualBox|Oracle VirtualBox,Freeware
ORACLE-MYSQL-ENT,Oracle,MySQL,Enterprise Edition,,Per Server Subscription,MySQL Enterprise Edition|MySQL Enterprise,Commercial
ORACLE-MYSQL-CE,Oracle,MySQL,Community Edition,,Free (GPL; no license required),MySQL Community Edition|MySQL Community|MySQL Server,Freeware
IBM-DB2-COMMUNITY,IBM,Db2,Community Edition,,Free (resource-limited; no license required),Db2 Community Edition|IBM Db2 Community,Freeware
IBM-DB2-STD,IBM,Db2,Standard Edition,,PVU or Virtual Processor Core (VPC),Db2 Standard Edition|IBM Db2 Standard|Db2 SE,Commercial
IBM-DB2-AE,IBM,Db2,Advanced Edition,,PVU or Virtual Processor Core (VPC),Db2 Advanced Edition|IBM Db2 Advanced|Db2 AE,Commercial
IBM-DB2-AESE,IBM,Db2,Advanced Enterprise Server Edition,,PVU (sub-capacity requires ILMT),Db2 AESE|IBM Db2 Advanced Enterprise Server Edition,Commercial
IBM-DB2CONNECT-EE,IBM,Db2 Connect,Enterprise Edition,,PVU or Authorized User Single Install,DB2 Connect Enterprise Edition|IBM DB2 Connect Enterprise Edition|Db2 Connect EE,Commercial
IBM-DB2CONNECT-EE-USER,IBM,Db2 Connect,Enterprise Edition User,,Authorized User Single Install,DB2 Connect Enterprise Edition User|Db2 Connect Enterprise Edition User,Commercial
IBM-DB2CONNECT-EE-CLIENT-DEVICE,IBM,Db2 Connect,Enterprise Edition Client Device,,Per Client Device,DB2 Connect Enterprise Edition Client Device|IBM DB2 Connect Enterprise Edition Client Device,Commercial
IBM-DB2CONNECT-EE-ENTERPRISE,IBM,Db2 Connect,Enterprise Edition Enterprise,,PVU,IBM DB2 Connect Enterprise Edition Enterprise|DB2 Connect Enterprise Edition Enterprise,Commercial
IBM-DB2CONNECT-AS,IBM,Db2 Connect,Application Server Edition,,PVU,DB2 Connect Application Server|IBM DB2 Connect Application Server|Db2 Connect Application Server Edition,Commercial
IBM-DB2CONNECT-AS-ENTERPRISE,IBM,Db2 Connect,Application Server Edition Enterprise,,PVU,IBM DB2 Connect Application Server Enterprise|DB2 Connect Application Server Enterprise,Commercial
IBM-DB2CONNECT-AS-12,IBM,Db2 Connect,Application Server Edition,12.1,PVU,DB2 Connect Application Server Edition 12.1|IBM DB2 Connect Application Server Edition 12.1,Commercial
IBM-DB2CONNECT-UE-SYS-Z,IBM,Db2 Connect,Unlimited Edition for System z,,MSU (System z capacity metric),DB2 Connect Unlimited Edition for System z|IBM DB2 Connect Unlimited Edition for System z,Commercial
IBM-DB2CONNECT-UE-SYS-I,IBM,Db2 Connect,Unlimited Edition for System i,,Per Processor Core (System i),DB2 Connect Unlimited Edition for System i|IBM DB2 Connect Unlimited Edition for System i,Commercial
IBM-DB2CONNECT-UE-ADV-Z,IBM,Db2 Connect,Unlimited Advanced Edition for System z,,MSU (System z capacity metric),DB2 Connect Unlimited Advanced Edition for System z|IBM DB2 Connect Unlimited Advanced Edition for System z,Commercial
IBM-DB2CONNECT-UE-ZSERIES-HOST,IBM,Db2 Connect,Unlimited Advanced Edition for zSeries Host Server,,MSU (System z capacity metric),DB2 Connect Unlimited Advanced Edition for zSeries Host Server and MSU|DB2 Connect Unlimited Edition for zSeries Servidor de sistema principal y MSU,Commercial
IBM-DB2CONNECT-UE-APPSRV-BASE,IBM,Db2 Connect,Unlimited Application Server Edition Unlicensed Product Base,,PVU (base - verify entitlement),IBM DB2 Connect Unlimited Application Server Edition Unlicensed Product Base,Commercial
IBM-DB2CONNECT-SERVER,IBM,Db2 Connect,Server,,PVU or Authorized User Single Install,DB2 Connect Server|IBM DB2 Connect Server|DB2 Connect Server - DB2COPY3,Commercial
IBM-DB2CONNECT-SERVER-UNREG,IBM,Db2 Connect,Server (License not registered),,UNLICENSED - flag for review; license not registered,DB2 Connect Server License not registered,Commercial
IBM-DB2CONNECT-CLIENT-DEVICE,IBM,Db2 Connect,Client Device,,Per Client Device,DB2 Connect Server Client Device|DB2 Connect Client Device,Commercial
